rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_backarc,result_type,damping,pga,0.020,0.050,0.075,0.100,0.150,0.200,0.250,0.300,0.400,0.500,0.600,0.750,1.000,1.500,2.000,2.500,3.000,4.000,5.000,6.000,7.500,10.000
8.0,45.0,5.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,10.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,20.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,50.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,100.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,300.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,1.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,5.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,10.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,20.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,50.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,100.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,300.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,1.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,5.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,10.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,20.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,50.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,100.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,300.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,1.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,5.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,10.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,20.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,50.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,100.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,45.0,300.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,1.0,180.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,5.0,180.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,10.0,180.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,20.0,180.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,50.0,180.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,100.0,180.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,300.0,180.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,1.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,5.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,10.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,20.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,50.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,100.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,300.0,360.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,1.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,5.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,10.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,20.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,50.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,100.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,300.0,570.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,1.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,5.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,10.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,20.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,50.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,100.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,300.0,850.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,1.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,5.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,10.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,20.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,50.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,100.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
8.0,90.0,300.0,1200.0,1.0,INTER_EVENT_STDDEV,5.0,4.36357e-01,4.30881e-01,4.83036e-01,5.08099e-01,5.04636e-01,4.75225e-01,4.29789e-01,4.01651e-01,3.89053e-01,3.83489e-01,3.84159e-01,3.94271e-01,4.14110e-01,4.42016e-01,4.36709e-01,4.29958e-01,4.42679e-01,4.20099e-01,4.08118e-01,3.87890e-01,3.94615e-01,3.73378e-01,3.76697e-01
